ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,-73.9,-1.29,Animal 1_2hrs_051,78.28,190.4,104.76,88.02,49.68,84.77,74.26,51.45
111.0,111.0,-19.73,-0.34,Animal 1_2hrs_052,80.22,144.07,182.24,77.29,198.96,120.54,116.63,74.17
111.0,111.0,59.65,1.04,Animal 1_2hrs_052,35.19,41.52,136.18,46.47,66.09,118.82,90.92,42.78
111.0,111.0,-60.34,-1.05,Animal 1_2hrs_052,22.28,152.4,119.45,36.63,95.97,107.66,93.97,41.19
111.0,111.0,-35.84,-0.63,Animal 1_2hrs_053,112.15,132.87,140.25,148.45,147.75,107.48,105.09,55.65
111.0,111.0,43.37,0.76,Animal 1_2hrs_053,28.43,60.12,150.34,45.32,100.61,99.84,108.29,42.11
111.0,111.0,-40.31,-0.7,Animal 1_2hrs_053,131.31,160.57,150.99,99.42,247.03,117.91,100.7,89.65
111.0,111.0,45.49,0.79,Animal 1_2hrs_055,78.48,50.71,162.17,137.1,187.32,111.27,102.64,70.02
111.0,111.0,69.15,1.21,Animal 1_2hrs_055,45.92,28.81,124.25,92.9,227.2,100.01,97.13,89.59
111.0,111.0,15.03,0.26,Animal 1_2hrs_057,65.31,93.69,166.33,98.83,162.69,114.82,87.62,56.64
111.0,111.0,67.07,1.17,Animal 1_2hrs_057,23.32,39.85,163.24,42.26,88.81,142.89,119.66,42.99
111.0,111.0,-81.92,-1.43,Animal 1_2hrs_058,33.07,198.4,119.72,35.23,114.19,109.11,107.04,50.29
111.0,111.0,-10.35,-0.18,Animal 1_2hrs_058,35.73,127.51,180.17,59.48,118.88,113.97,106.05,47.32
111.0,111.0,-73.2,-1.28,Animal 1_2hrs_058,85.49,179.46,128.12,63.55,87.47,108.72,106.76,36.47
111.0,111.0,-72.56,-1.27,Animal 1_2hrs_058,67.72,172.98,130.44,100.46,170.68,110.74,110.89,49.47
111.0,111.0,5.62,0.1,Animal 1_2hrs_059,32.02,98.44,182.11,45.53,98.27,105.7,108.32,40.61
111.0,111.0,8.74,0.15,Animal 1_2hrs_059,46.9,102.48,180.76,108.81,149.84,113.18,111.12,52.18
111.0,111.0,13.72,0.24,Animal 1_2hrs_059,2.9,98.41,133.53,10.12,72.48,107.68,95.59,34.42
111.0,111.0,-20.62,-0.36,Animal 1_2hrs_060,63.98,138.84,152.81,54.7,78.43,125.56,117.52,38.5
111.0,111.0,1.91,0.03,Animal 1_2hrs_060,28.12,141.31,176.96,40.14,217.6,144.48,81.91,81.62
111.0,111.0,-116.55,-2.03,Animal 1_2hrs_060,142.91,112.73,77.24,203.52,309.84,71.38,97.89,102.51
111.0,111.0,40.08,0.7,Animal 1_2hrs_061,65.45,47.91,168.19,75.03,203.3,107.28,97.65,65.74
111.0,111.0,-13.39,-0.23,Animal 1_2hrs_061,46.05,105.76,139.73,46.91,83.83,91.97,81.8,35.27
111.0,111.0,15.19,0.27,Animal 1_2hrs_061,220.38,96.59,120.13,188.87,76.91,104.13,92.37,36.66
84.0,111.0,9.92,0.17,Animal 1_2hrs_061,32.26,34.58,159.36,26.15,69.63,41.09,122.12,34.09
111.0,111.0,8.55,0.15,Animal 1_2hrs_062,75.94,88.3,160.35,108.95,119.25,97.5,99.11,43.97
111.0,111.0,5.33,0.09,Animal 1_2hrs_063,0.9,92.3,135.97,3.99,101.76,97.14,84.05,42.79
